latitude,longitude,iata_faa
88.555557,32.552083,NMM
95.402386,32.354139,TYR
99.051353,34.991308,HBR
92.549833,31.3274,AEX
95.888111,36.198389,TUL
93.221767,44.881956,MSP
90.258028,29.993389,MSY
97.600733,35.393089,OKC
88.443833,33.643833,CBM
86.5254,30.48325,VPS
86.987803,32.343947,SEM
96.741914,43.582014,FSD
87.532364,38.036997,EVV
89.0972222,42.1953611,RFD
88.915917,40.477111,BMI
89.070111,30.407278,GPT
88.865689,39.834564,DEC
91.710806,41.884694,CID
91.256711,43.878986,LSE
89.646635,44.772726,CWA
89.693258,40.664203,PIA
88.507576,44.257526,ATW
92.500014,43.908283,RST
88.278056,40.03925,CMI
96.670833,39.140972,MHK
95.554276,30.063746,DWH
96.442859,28.429977,S46
90.507539,41.448528,MLI
85.682806,30.212083,PFN
100.757931,46.775842,BIS
86.7750556,34.6371944,HSV
86.3939722,32.3006389,MGM
88.7729583,37.0602875,PAH
95.6565278,29.62225,SGR
103.079278,34.425139,CVN
102.916139,30.915667,FST
95.672611,29.818194,IWS
98.891,32.719047,BKD
97.407778,31.1525,TPL
101.202972,30.735281,OZA
98.4166367,34.5677144,LAW
94.059889,45.546556,STC
88.591361,33.450333,GTR
94.934722,47.510722,BJI
96.8157639,46.92065,FAR
94.598889,39.1275,MKC
88.751868,32.332624,MEI
89.677889,39.8441,SPI
100.95986,37.044222,LBL
101.698992,39.370621,GLD
93.388639,37.245667,SGF
94.498269,37.151814,JLN
94.3068111,36.2818694,XNA
97.7666,30.31666,ATT
87.611403,33.220627,TCL
90.709472,42.402,DBQ
96.9185,28.8526,VCT
91.1946,39.9427,UIN
88.7699,34.2681,TUP
97.6522,38.791,SLN
89.4675,45.6312,RHI
100.286,44.3827,PIR
89.3371,31.4671,PIB
87.1668,37.7401,OWB
87.6102,34.7453,MSL
100.684,41.1262,LBF
98.6782,46.9297,JMS
92.5449,40.0935,IRK
93.0962,34.478,HOT
98.3096,40.9675,GRI
91.4843,44.8658,EAU
99.9656,37.7634,DDC
89.5708,37.2253,CGI
91.1255,40.7832,BRL
97.1547,44.914,ATY
92.4003,42.5571,ALO
98.4218,45.4491,ABR
96.8169,44.3048,BKX
99.0068,40.727,EAR
90.9856,33.4829,GLH
95.202805,43.165527,SPW
92.1561,38.5912,JEF
88.2370556,43.0410278,UES
88.3751111,42.4028889,10C
87.4128,41.6163,GYY
94.138078,46.398308,BRD
93.200556,36.531994,BKG
98.9565,31.7936111,BWD
96.5144594,31.6411783,LXY
99.0854722,29.9766667,ERV
91.830833,47.824444,LYU
93.509722,47.211111,GPZ
96.185,48.065556,TVF
89.268283,45.932333,EGV
89.730833,45.927778,ARV
93.566389,41.691389,IKV
97.290376,27.692701,NGP
97.8606,38.0655,HUT
94.909706,39.771944,STJ
90.253433,43.938956,VOK
98.908611,48.114444,DVL
100.592222,40.206389,MCK
90.1562211,38.5707244,CPS
111.7222222,40.21805555,PVU
106.8663056,40.51625,SBS
112.5077147,39.3806386,DTA
112.0989444,38.7364361,RIF
110.75278,39.609722,PUC
106.2694153,35.8798019,LAM
81.7834,27.9434,BOW
107.7269444,39.5263056,RIL
106.8235264,41.4448594,SAA
85.7973,30.3417,ECP
89.783333,34.876944,OLV
90.3467,34.681,UTM
88.0344167,43.1103889,MWC
89.0415556,42.62025,JVL
94.8903056,38.8309167,JCI
97.9598611,34.4713056,DUC
99.748962,29.215429,UVA
88.083003,41.606326,LOT
88.200197,40.144979,C16
95.622482,39.068657,TOP
96.1912,38.3321,EMP
96.5905278,33.1779444,TKI
87.9015376,42.1142897,PWK
82.497,41.3521,3W2
97.0436944,28.0862222,RKP
96.868333,32.680833,RBD
85.0274416,29.7276066,AAF
97.318889,32.987778,AFW
86.7832222,33.1777778,EET
86.8138056,39.6335556,4I7
86.1280125,41.9929342,C91
81.5775833,39.9750278,CDI
76.6471914,39.7948244,0P2
86.9368889,40.4123056,LAF
84.7843814,39.5022607,OXD
85.39575,40.2424722,MIE
84.637344,45.8649344,MCD
87.0070833,41.4539722,NPZ
86.8211,41.7033,MGC
87.395278,46.353611,MQT
88.1145556,45.8183611,IMT
87.093611,45.722778,ESC
89.0110936,37.7549569,MWA
81.332936,28.545464,ORL
71.289031,42.469953,BED
83.394053,44.451558,OSC
81.145683,32.01,SVN
74.813469,40.276692,TTN
71.005181,42.364347,BOS
75.407033,43.2338,RME
68.828139,44.807444,BGR
80.170706,26.197281,FXE
82.709389,34.494583,AND
80.240722,26.001222,HWO
82.271778,29.690056,GNV
79.014472,35.170883,POB
81.849794,41.411689,CLE
75.465958,39.129539,DOV
84.667822,39.048836,CVG
76.759414,39.085386,FME
74.168667,40.6925,EWR
78.928333,33.67975,MYR
70.060181,41.253053,ACK
76.608841,37.1325,FAF
77.037722,38.852083,DCA
76.411781,38.285981,NHK
74.577167,39.457583,ACY
76.174572,36.260581,ECG
80.15275,26.072583,FLL
84.991283,32.337322,LSF
76.763403,40.193494,MDT
84.587357,42.7787,LAN
74.845547,44.935833,MSS
81.38955,35.741147,HKY
82.626972,27.765111,SPG
81.86325,26.586611,FMY
68.685561,45.647836,MLT
76.867028,38.810806,ADW
80.222,36.133722,INT
75.719458,44.055619,GTB
82.528862,42.910957,PHN
81.119528,33.938833,CAE
80.232872,40.491467,PIT
83.193,30.967833,VAD
80.290556,25.79325,MIA
85.203808,35.035278,CHA
73.126167,41.163472,BDR
76.921094,41.241836,IPT
86.294383,39.717331,IND
73.707575,41.066959,HPN
72.631789,40.843656,FOK
80.085056,26.593,LNA
85.663722,38.228,LOU
87.307561,39.451464,HUF
72.562328,44.203503,MPV
77.319667,37.505167,RIC
76.201222,36.894611,ORF
81.202139,32.127583,SAV
82.687389,27.910167,PIE
87.638443,45.12665,MNM
77.672389,43.118866,ROC
80.610125,28.234922,COF
74.060837,40.850103,TEB
78.787472,35.877639,RDU
84.219375,39.902375,DAY
78.946194,43.107333,IAG
76.492989,37.131894,PHF
77.960589,35.339383,GSB
71.420383,41.732581,PVD
75.510289,38.340525,SBY
83.353389,42.212444,DTW
82.53325,27.975472,TPA
74.591667,40.015556,WRI
76.880733,34.900872,NKT
82.369944,32.609139,SBO
81.9645,33.369944,AGS
74.104839,41.504094,SWF
84.516319,33.915382,MGE
84.671112,44.359806,HTL
80.645258,28.102753,MLB
82.927822,39.813786,LCK
83.994028,35.810972,TYS
75.072222,39.367806,MIV
84.418611,39.103333,LUK
84.428067,33.636719,ATL
85.522806,42.880833,GRR
80.417944,27.655556,VRB
78.320022,40.296372,AOO
73.872608,40.777245,LGA
84.350333,30.396528,TLH
69.797317,44.320647,AUG
81.680556,30.235834,NIP
73.153278,44.471861,BTV
81.687861,30.494056,JAX
77.455811,38.944533,IAD
80.897,25.861806,TNT
80.095589,26.683161,PBI
75.4655,44.681854,OGS
70.521417,41.658439,FMH
77.042944,35.072972,EWN
80.470564,33.972719,SSC
83.009861,42.409195,DET
74.908275,39.008507,WWD
82.8355,42.608333,MTC
76.106311,43.111187,SYR
81.688889,24.575834,NQX
75.010586,40.081944,PNE
75.241139,39.871944,PHL
83.649211,32.69285,MCN
82.891889,39.997972,CMH
84.048332,39.826111,FFO
80.723161,32.477411,NBC
73.468139,44.650944,PBG
76.168808,39.466219,APG
79.857139,38.889444,EKN
72.649444,41.736722,HFD
71.491381,41.920764,SFZ
82.521214,27.849339,MCF
80.278389,25.907,OPF
81.755167,26.536167,RSW
76.569411,40.434811,MUI
73.778925,40.639751,JFK
80.383567,25.48855,HST
75.466389,37.940194,WAL
75.148167,40.199833,NXX
80.040528,32.898647,CHS
83.530408,42.237928,YIP
74.353333,40.033333,NEL
78.732167,42.940525,BUF
82.652333,41.433361,SKY
72.683222,41.938889,BDL
76.289289,36.937644,NGU
72.534783,42.194014,CEF
80.107694,26.3785,BCT
77.305333,38.501683,NYG
76.021739,43.991922,ART
77.902569,34.270615,ILM
76.668333,39.175361,BWI
73.100222,40.79525,ISP
75.606528,39.678722,ILG
70.309281,43.646161,PWM
73.801692,42.748267,ALB
76.360547,37.082881,LFI
80.432777,25.647889,TMB
76.033542,36.820703,NTU
86.152119,40.648094,GUS
81.759556,24.556111,EYW
80.943139,35.214,CLT
81.308994,28.429394,MCO
79.723889,34.185361,FLO
80.679097,41.260736,YNG
83.59185,32.640144,WRB
76.891611,42.159889,ELM
76.458444,42.491028,ITH
81.058056,29.179917,DAB
74.009028,40.701214,JRB
72.886806,41.26375,HVN
82.541806,35.436194,AVL
79.937306,36.09775,GSO
71.435667,42.932556,MHT
81.775294,26.152619,APF
85.7364989,38.1740858,SDF
78.452861,38.138639,CHO
79.975417,37.325472,ROA
84.605889,38.0365,LEX
85.582235,44.741445,TVC
68.3615653,44.4497689,BHB
69.0992303,44.0601111,RKD
73.971944,40.7425,TSS
82.218889,34.895556,GSP
85.552058,42.234875,AZO
83.807833,41.586806,TOL
85.195139,40.978472,FWA
79.860362,41.377874,FKL
82.554389,27.395444,SRQ
80.83541,28.622552,X21
83.743629,42.965424,FNT
81.4421944,40.9160833,CAK
81.4392031,39.3451039,PKB
82.4074167,36.4752222,TRI
84.079647,43.532913,MBS
75.979839,42.208689,BGM
81.237489,28.777639,SFB
